artigoEmPeriodico	2015		Noções sobre o Patrimônio Documental: A Trajetória da Produção Documental e sua relação com os Arquivos	Revista eletônica FEOL - REFEOL	COELHO, P. H. P	Qualis nao identificado	Revista eletônica FEOL - REFEOL
artigoEmPeriodico	2015		Economia solidária: alternativas para o desenvolvimento em São José do Barreiro/SP	Desenvolvimento Regional em debate	CONCEICAO, A. A. B. ; CARNIELLO, M. F. ; SANTOS, M. J. ; VIEIRA, E. T.	Qualis nao identificado	Desenvolvimento Regional em debate
artigoEmPeriodico	2015		O DOCUMENTO ARQUIVÍSTICO: REFLEXÕES ACERCA DO PATRIMÔNIO CULTURAL	Revista ScientiaTec	ROSSATO, F. H. C.; FLORES, D.	Qualis nao identificado	Revista ScientiaTec
artigoEmPeriodico	2015		A REVISÃO DO CURRÍCULO DE ARQUIVOLOGIA EM DEBATE NA UFSM: CONTRIBUIÇÃO A PARTIR DE PESQUISA ACADÊMICA	Biblos (Rio Grande)	CONSTANTE, S. E. ; PEDRAZZI, Fernanda Kieling ; FERREIRA, R. R. ; OESTREICH, J. ; DOTTO, L. R. ; SANTOS, E. L.	Qualis nao identificado	Biblos (Rio Grande)
artigoEmPeriodico	2015	http://dx.doi.org/10.1590/1679-39518879	Conciliando agência e contexto na dinâmica da mudança institucional	Cadernos EBAPE.BR (FGV)	CORAIOLA, D. M. ; JACOMETTI, M. ; BARATTER, M. A. ; GONÇALVES, S. A.	Qualis nao identificado	Cadernos EBAPE.BR (FGV)
artigoEmPeriodico	2015		HISTÓRIA E ARQUIVOLOGIA: ALIANÇAS POSSÍVEIS ? UM ESTUDO DE CASO	Agora (Florianopolis)	CORDEIRO, F. L	Qualis nao identificado	Agora (Florianopolis)
artigoEmPeriodico	2015		Edição Especial Revista Pensar Direito, v. 7, n. 1 , Jul./2015 O PO D E R L E G IS L A T I V O E A P R O DU Ç Ã O DE D O CU M E NT O S A R Q U IVÍS T I C O S : BR EVE S C O N SI D E R A Ç ÕE S	ISSN-2236-1162	CORDEIRO, F. L	Qualis nao identificado	ISSN-2236-1162
artigoEmPeriodico	2015		Movimentos sociais e ação social: propostas teóricas para a análise das mobilizações sociais	Revista Eletrônica Caminhos da História	CORDEIRO, F. L.; FONSECA, R. F.	Qualis nao identificado	Revista Eletrônica Caminhos da História
artigoEmPeriodico	2015		OBRAS RARAS E ESPECIAIS: UM EXERCÍCIO COM O PATRIMÔNIO CULTURAL POR MEIO DA INTERDISCIPLINARIDADE NO NORTE DE MINA	Agora (Florianopolis)	CORDEIRO, F. L.; GARCIA, R. A. D. M. ; REIS, J. O. S.	Qualis nao identificado	Agora (Florianopolis)
artigoEmPeriodico	2015		Periódicos científicos interativos em Ciência da Informação e Biblioteconomia: uma utopia possível.	Revista Digital de Biblioteconomia e Ciência da Informação	CORREA, E. D. ; JULIANI, J. P. ; Divino Inácio Ribeiro Junior	Qualis nao identificado	Revista Digital de Biblioteconomia e Ciência da Informação
artigoEmPeriodico	2015		Hierarchy models for the organization of economic spaces	Procedia Computer Science	cosenza, C.A.N.; DORIA, F. A. M. A. ; PESSOA, L. A. M.	C	
artigoEmPeriodico	2015		O IPHAN e seu arquivo fotográfico	Acesso Livre	COSTA, Eduardo	Qualis nao identificado	Acesso Livre
artigoEmPeriodico	2015		The Dialogical Construction of a Historical and Photographic Narrative in Brazil and Latin America between the 1970s and 1980s	International Journal of Cultural Studies (Print)	COSTA, Eduardo; ZERWES, E.	Qualis nao identificado	International Journal of Cultural Studies (Print)
artigoEmPeriodico	2015		Registro do patrimônio histórico rural a partir da história oral	Informação & Informação (UEL. Online)	COSTA, LUZIA SIGOLI FERNANDES; GRACIOSO, LUCIANA DE SOUZA	C	
artigoEmPeriodico	2015		Preservação e Patrimonialização do acervo do Comitê de Direitos Humanos CLAMOR -11978/1991	Revista Memória em Rede	CRUZ	Qualis nao identificado	Revista Memória em Rede
artigoEmPeriodico	2015		INFORMAÇÕES EM SAÚDE: UM ESTUDO DA LEGISLAÇÃO BRASILEIRA	PontodeAcesso (UFBA)	CRUZ, J. A. S	C	
artigoEmPeriodico	2015		Disrupção imagética: desocidentalizar os corpos, desconstruir a heteronormatividade	VIA ATLÂNTICA	CUNHA, E. L.; AZEVEDO, A. P. F.	Qualis nao identificado	VIA ATLÂNTICA
artigoEmPeriodico	2015		A função de avaliação na gestão documental em hospitais	Acervo	CUNHA, F. J. A. P. ; OLIVEIRA, L. A. F. ; LIMA, G. L. Q.	Qualis nao identificado	Acervo
artigoEmPeriodico	2015	http://dx.doi.org/10.1080/17583004.2015.1040949	REDD+: a carbon stock-flow analysis of the Brazilian Amazon municipalities	Carbon Management	CUNHA, FELIPE ARIAS FOGLIANO DE SOUZA ; cosenza, C.A.N. ; LUCENA, ANDRÉ F.P.	Qualis nao identificado	Carbon Management
artigoEmPeriodico	2015		A pesquisa sobre política de indexação no Brasil: avanços e desafios	Scire	DAL' EVEDOVE, P. R. ; FUJITA, M. S. L.	Qualis nao identificado	Scire
artigoEmPeriodico	2015		'Criação de Arquivo em História dos Saberes Psicológicos e da Psicologia	História Unisinos	DAMASCENO, E. N. ; MASSIMI, M.	Qualis nao identificado	História Unisinos
artigoEmPeriodico	2015		Correspondência epistolar do neurofisiologista Miguel Rolando Covian: um arquivo preservado	Revista Brasileira de História da Ciência	DAMASCENO, E. N. ; MASSIMI, M.	C	
artigoEmPeriodico	2015	http://dx.doi.org/10.1002/tqem.21450	Sustainability: A Study of the Level of Ecological Behavior of Postgraduate Students in Brazil	Environmental Quality Management (Print)	DE ALMEIDA, DAMIANA MACHADO ; DA GAMA MADRUGA, LUCIA REJANE ; LOPES, Luis Felipe Dias ; AVILA, LUCAS VEIGA ; IBDAIWI, THIAGO KADER RAJEH	Qualis nao identificado	Environmental Quality Management (Print)
artigoEmPeriodico	2015	http://dx.doi.org/10.1179/2047058414Y.0000000138	Characterization of corrosion products on metals excavated from seal hunters' occupation in Antarctica in the eighteenth and nineteenth centuries	Studies in Conservation	DE FIGUEIREDO, JOÃO CURA D'ARS ; OLIVEIRA, JULIANA ALVES DOS SANTOS ; DE SOUZA, GLÁUCIA SILVA MARQUES ; FRONER, YACY-ARA ; SOUZA, LUIZ A. C. ; ZARANKIN, ANDRÉS	Qualis nao identificado	Studies in Conservation
artigoEmPeriodico	2015		Vida na cidade em olhares sobre a favela : a criança e seus modos de entender o mundo	Educação em Foco (Juiz de Fora)	DIAS, Juliana Maddalena ; MIRANDA, S. R.	Qualis nao identificado	Educação em Foco (Juiz de Fora)
artigoEmPeriodico	2015		(a)notações urbanas	Polêm!ca	DIAS, K. S	Qualis nao identificado	Polêm!ca
artigoEmPeriodico	2015		Grand-Tour: em volta do alfinete	Revista VIS (UnB)	DIAS, K. S	Qualis nao identificado	Revista VIS (UnB)
artigoEmPeriodico	2015		Capital intelectual en la gestión pública: caso del método Intellectus	Navus Revista de Gestão e Tecnologia	DIAS, M. A. H. ; LERIPIO, A. A. ; VARVAKIS, G. ; VAZ, C. R.	Qualis nao identificado	Navus Revista de Gestão e Tecnologia
artigoEmPeriodico	2015		Generation of Ideas, Ideation and Idea Management	Navus Revista de Gestão e Tecnologia	DOROW, P. F. ; DAVILA, G. ; VARVAKIS, GREGÓRIO ; VALLEJOS, Rolando Vargas	Qualis nao identificado	Navus Revista de Gestão e Tecnologia
artigoEmPeriodico	2015		AQUARIOFILIA COMO FERRAMENTA DE EDUCAÇÃO AMBIENTAL NO ENSINO BÁSICO	Semioses (Rio de Janeiro)	Dos Reis P. C. N. ; SEIXAS FILHO, J. T. ; MELLO, S. C. R. P.	Qualis nao identificado	Semioses (Rio de Janeiro)
artigoEmPeriodico	2015		Mensuração de úlceras venosas por softwares: avaliação da reprodutibilidade de testes	Online Brazilian Journal of Nursing	EBERHARDT, T. D. ; LIMA, S. B. S. ; LOPES, L. F. D. ; SOARES, R. S. A. ; KESSLER, M.	Qualis nao identificado	Online Brazilian Journal of Nursing
artigoEmPeriodico	2015		Para além do Mercado Comum do Sul: estabelecendo relações entre as leis de acesso à informação dos países do MERCOSUL	E-Legis	EIRAO, Thiago Gomes ; SILVA, Terezinha Elisabeth da ; CAVALCANTE, Raphael Silva	Qualis nao identificado	E-Legis
artigoEmPeriodico	2015		Aplicação da arquivometria no Arquivo Central da Universidade Federal de Santa Catarina	Ágora Revista do Arquivo Público do Estado de Santa Catarina & Curso de Arquivologia da UFSC	ELIAS, Ezmir Dippe; PINTO, Adilson Luiz ; SOARES, Ana Paula Alves	Qualis nao identificado	Ágora Revista do Arquivo Público do Estado de Santa Catarina & Curso de Arquivologia da UFSC
artigoEmPeriodico	2015		O processo de análise de demandas por regulamentação técnica metrológicas e a evolução das práticas de avaliaçãao no Inmetro	Revista Brasileira de Monitoramento e Avaliação	ELLIOT, Ligia Gomes; REGO, R. M. ; ARAUJO, T. F. ; SILVA, R. C. P. R. ; FREITAS, M. C. ; ATANASIO, L. B. J.	Qualis nao identificado	Revista Brasileira de Monitoramento e Avaliação
artigoEmPeriodico	2015	http://dx.doi.org/10.1007/s12652-015-0292-9	Performance improvement of data mining in Weka through multi-core and GPU acceleration: opportunities and pitfalls	Journal of Ambient Intelligence and Humanized Computing	ENGEL, TIAGO AUGUSTO ; CHARÃO, ANDREA SCHWERTNER ; KIRSCH-PINHEIRO, MANUELE ; STEFFENEL, LUIZ-ANGELO	Qualis nao identificado	Journal of Ambient Intelligence and Humanized Computing
artigoEmPeriodico	2015		Informação em rede e o direito à informação	Revista Ibero-Americana de Ciência da Informação	FACHIN, J.; ARAÚJO, Nelma Camelo de ; BLATTMANN, U.	Qualis nao identificado	Revista Ibero-Americana de Ciência da Informação
artigoEmPeriodico	2015		Governo eletrônico ? E-GOV: análise dos serviços disponíveis no portal do Governo do Estado da Bahia	Navus Revista de Gestão e Tecnologia	FACHIN, Juliana ; ROVER, ARES JOSÉ	Qualis nao identificado	Navus Revista de Gestão e Tecnologia
artigoEmPeriodico	2015		Compartilhamento e transferência de conhecimento na gestão de bibliotecas: um estudo em instituições federais de ensino de santa catarina	Revista ACB (Florianópolis)	FALLGATTER, M. ; DUTRA, S. K. W. ; PRIM, M. A. ; Varvakis, Gregorio	Qualis nao identificado	Revista ACB (Florianópolis)
artigoEmPeriodico	2015		Empoderamento para o desenvolvimento social comunitário mediante tecnologias intelectuais digitais	Revista Internacional de Ciencias Sociales Interdisciplinares	FARIAS, M.G.G. ; VARELA, A. V. ; FREIRE, I. M.	Qualis nao identificado	Revista Internacional de Ciencias Sociales Interdisciplinares
artigoEmPeriodico	2015		Isomorfismo normativo versus isomorfismo mandatório na adoção de práticas organizacionais	Revista Organizações em Contexto (Online)	FELIX, I. M. N. ; Guarido Filho, E ; GONÇALVES, S. A.	Qualis nao identificado	Revista Organizações em Contexto (Online)
artigoEmPeriodico	2015	http://dx.doi.org/10.20396/rdbci.v14i1.8640985	Processo de indexação nas bibliotecas dos Institutos Federais do Paraná - IFPR	REVISTA DIGITAL DE BIBLIOTECONOMIA E CIÊNCIA DA INFORMAÇÃO	FERREIRA, FABIANE ; CERVANTES, BRÍGIDA MARIA NOGUEIRA	Qualis nao identificado	REVISTA DIGITAL DE BIBLIOTECONOMIA E CIÊNCIA DA INFORMAÇÃO
artigoEmPeriodico	2015	http://dx.doi.org/10.18225/liinc.v11i1.770	Preservação de documentos arquivísticos digitais: reflexões sobre as estratégias de encapsulamento - Preservation of digital archival documents: reflections on the strategies of encapsulation	Liinc em Revista	FLORES, D.; SANTOS, H. M.	C	
artigoEmPeriodico	2015		TDIC como Mediadora do Processo de Ensino-Aprendizagem da Arquivologia	REVISTA ÁGORA (VITÓRIA)	FONTANA, F. F. ; CORDENONSI, A. Z.	Qualis nao identificado	REVISTA ÁGORA (VITÓRIA)
artigoEmPeriodico	2015		Relato sobre a PBCIB em seu 10o. ano de publicação	Pesquisa Brasileira em Ciência da Informação e Biblioteconomia	FREIRE, G. H. A. ; FREIRE, I. M. ; ARAUJO, V. M. R. H.	Qualis nao identificado	Pesquisa Brasileira em Ciência da Informação e Biblioteconomia
artigoEmPeriodico	2015	http://dx.doi.org/10.5007/1518-2924.2015v20n43p153	Marketing da informação em mídias virtuais: experiência com o facebook De olho na CI	Encontros Bibli	FREIRE, GUSTAVO HENRIQUE DE ARAÚJO; FREIRE, ISA MARIA ; ARAUJO, VÂNIA MARIA RODRIGUES HERMES DE ; COSTA, CRISTIANO SANTANA DA	C	
artigoEmPeriodico	2015		Relato sobre a 'responsabilidade social' na literatura brasileira da Ciência da Informação	Pesquisa Brasileira em Ciência da Informação e Biblioteconomia	FREIRE, I. M	Qualis nao identificado	Pesquisa Brasileira em Ciência da Informação e Biblioteconomia
artigoEmPeriodico	2015		Breve reflexão sobre as ações de informação no Laboratório de Tecnologias Intelectuais ? LTi	Revista do Mestrado Profissional Gestão em Organizações Aprendentes	FREIRE, I. M	Qualis nao identificado	Revista do Mestrado Profissional Gestão em Organizações Aprendentes
artigoEmPeriodico	2015		Promoção da informação na web: pesquisa aplicada à gestão do Facebook De olho na CI	RBBD. Revista Brasileira de Biblioteconomia e Documentação (Online)	FREIRE, I. M.; COSTA, C.S. da	Qualis nao identificado	RBBD. Revista Brasileira de Biblioteconomia e Documentação (Online)
artigoEmPeriodico	2015		Busca e organização da informação audiovisual na web: experiência no laboratório de tecnologias intelectuais	RBBD. Revista Brasileira de Biblioteconomia e Documentação (Online)	FREIRE, I. M.; FREIRE, G. H. A. ; BARROS, N.N.	Qualis nao identificado	RBBD. Revista Brasileira de Biblioteconomia e Documentação (Online)
artigoEmPeriodico	2015		Sobre a ética da informação: uma experiência no ensino da Arquivologia	Archeion Online	FREIRE, I. M.; OLIVEIRA, G. M.	Qualis nao identificado	Archeion Online
artigoEmPeriodico	2015		Os Portais de Transparência à luz da Ciência da Informação: um modelo de interface para acesso à informação	Pesquisa Brasileira em Ciência da Informação e Biblioteconomia	FREIRE, I. M.; REGO, H. de O. ; OLIVEIRA, G. M.	Qualis nao identificado	Pesquisa Brasileira em Ciência da Informação e Biblioteconomia
artigoEmPeriodico	2015		A mandala das virtudes da Biblioteconomia	RBBD. Revista Brasileira de Biblioteconomia e Documentação (Online)	FREIRE, I. M.; SILVA, A. L. A. ; LIMA, G.F.C. de	Qualis nao identificado	RBBD. Revista Brasileira de Biblioteconomia e Documentação (Online)
artigoEmPeriodico	2015		Estratégia de compartilhamento de conhecimentos: um estudo de caso em uma empresa de contabilidade	Espacios (Caracas)	FREITAS FILHO, F. L. ; RAMOS, J. A. ; CARDOSO, J. M. ; VARVAKIS, G. ; SANTOS, N.	Qualis nao identificado	Espacios (Caracas)
artigoEmPeriodico	2015		Identificando as estratégias de enfrentamento utilizadas por policiais rodoviários federais da região central do estado do Rio Grande do Sul	Revista CESUMAR	FREITAS, A. K. B. ; BRITO, L. C. ; LOPES, L. F. D. ; MEDEIROS, F. S. B.	Qualis nao identificado	Revista CESUMAR
artigoEmPeriodico	2015		A interoperabilidade entre os OPAC e os repositórios institucionais nas universidades públicas portuguesas e espanholas	Brazilian Journal of Information Science	FREITAS, M. Cristina V. de; SIMOES, M. G. ; BRAVO, B. R.	B1	Journal of Information Science
artigoEmPeriodico	2015		A avaliação da indexação por meio da recuperação da informação	Ciência da Informação (Online)	FUJITA, M. S. L.; GIL LEIVA, I.	B4	
artigoEmPeriodico	2015		A Indústria Têxtil no Brasil: uma perspectiva histórica e cultural	Modapalavra E-periódico	FUJITA, R. M. L. ; JORENTE, Maria José Vicentini	Qualis nao identificado	Modapalavra E-periódico
artigoEmPeriodico	2015		Comportamento informacional de usuários de um telecentro	PONTODEACESSO (UFBA)	FURTADO, R. L. ; BERTI, I. C. L. W. ; BARTALO, L. ; ARAÚJO, C. A. Á.	C	PontodeAcesso (UFBA)
artigoEmPeriodico	2015		Nuanças e estratégias que circundam o conhecimento tácito	Navus Revista de Gestão e Tecnologia	GARCIA, J. C. R.; SILVA, E. M.	Qualis nao identificado	Navus Revista de Gestão e Tecnologia
artigoEmPeriodico	2015		Relatório do XVI ENANCIB	Pesquisa Brasileira em Ciência da Informação e Biblioteconomia	GARCIA, J. C. R.; SILVA, E. M.	Qualis nao identificado	Pesquisa Brasileira em Ciência da Informação e Biblioteconomia
artigoEmPeriodico	2015		Responsabilidade social: contra ou a favor?	Informação & Informação (UEL. Online)	GARCIA, Joana Coeli Ribeiro; RAIMUNDO, J. ; FERREIRA, J. O. ; FERNANDES, T. F. S.	C	
artigoEmPeriodico	2015		Práticas infoculturais em bibliotecas	Informação & Sociedade (UFPB. Online)	GARCIA, Joana Coeli; MACEDO, E. F. ; OLIVEIRA, B. M. J. F.	Qualis nao identificado	Informação & Sociedade (UFPB. Online)
artigoEmPeriodico	2015		Ensino e Pesquisa da História da Educação no Brasil	Educativa (Goiânia. Online)	GONCALVES NETO, Wenceslau	Qualis nao identificado	Educativa (Goiânia. Online)
artigoEmPeriodico	2015		Validade científica: da epistemologia à ética e à política	Liinc em Revista	GONZALEZ de GOMEZ, M. N	C	
artigoEmPeriodico	2015		Privacidade do usuário na atividade de busca: o caso do arquivo público do Estado de São Paulo	Perspectivas em Ciência da Informação (Online)	GONÇALEZ, P. R. V. A. ; SANT'ANA, R. G. ; JORENTE, Maria José Vicentini	B4	Ciência da Informação (Online)
artigoEmPeriodico	2015		?Contra a Pessoa de El Rei e a Segurança do Estado?: brasileiros na resistência ao miguelismo em Portugal (1828-1834)	Revista do Arquivo Publico Mineiro	GONÇALVES, A. L	C	
artigoEmPeriodico	2015		?Cidadãos teóricos de uma nação imprecisa?: a ação política de estrangeiros no reinado de D. Miguel, 1828-1834	Tempo (Niterói. Online)	GONÇALVES, A. L	Qualis nao identificado	Tempo (Niterói. Online)
artigoEmPeriodico	2015	http://dx.doi.org/10.15210/rmr.v7i13.6265	Lugares de memória, memórias concorrentes e leis memoriais.	Revista Memória em Rede	GONÇALVES, Janice	Qualis nao identificado	Revista Memória em Rede
artigoEmPeriodico	2015		Pesquisa na formação de professores para o ensino de História: produção acadêmica (1970-2014)	Mosaico (Goiânia)	GONÇALVES, N. G	Qualis nao identificado	Mosaico (Goiânia)
artigoEmPeriodico	2015		Indissociabilidade entre ensino, pesquisa e extensão: um princípio necessário	Perspectiva	GONÇALVES, N. G	Qualis nao identificado	Perspectiva
artigoEmPeriodico	2015	http://dx.doi.org/10.5433/1984-3356.2015v8n15p269	Extensão Universitária no período da ditadura: concepções e relações com a Doutrina de Segurança Nacional e Desenvolvimento	Antíteses (Londrina)	GONÇALVES, N. G.; VIEIRA, C. S.	Qualis nao identificado	Antíteses (Londrina)
artigoEmPeriodico	2015		Aplicabilidade da lei de responsabilidade fiscal no controle de despesas com pessoal no CONDESUS da Quarta Colônia	Revista da UNIFEBE	GOULART, S. O. ; ROSSATO, T. M. ; LOPES, L. F. D. ; ALMEIDA, D. M. ; CORREA, J. S.	Qualis nao identificado	Revista da UNIFEBE
